key,sample,location,location_code,state,state_code,location_macro,location_macro_code,beach_or_area,area_type,coord_lat,coord_lon,status,age_class,sex,previous_assignment,carapace_length_metres,carapace_width_metres,weight_kg,collection_date,library,extracted_from,source,obs,method,rg_id,rg_pl,rg_pm
151,R0038,Atol das Rocas,ADR,Rio Grande do Norte,RN,Brazil,BR,Atol das Rocas,feeding,,,,,,ei,,,,,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
152,R0039,Atol das Rocas,ADR,Rio Grande do Norte,RN,Brazil,BR,Atol das Rocas,feeding,,,,,,ei,,,,,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
153,R0040,Praia do Forte,PDF,Bahia,BA,Brazil,BR,Praia do Forte,nesting,,,,juvenile,,ei,,,,,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
154,R0053,Praia do Forte,PDF,Bahia,BA,Brazil,BR,Praia do Forte,nesting,,,,,,ei,,,,,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
155,R0058,Praia do Forte,PDF,Bahia,BA,Brazil,BR,Praia do Forte,nesting,,,,,,ei,,,,,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
156,R0061,Praia do Forte,PDF,Bahia,BA,Brazil,BR,Praia do Forte,nesting,,,pelagic,juvenile,,ei,,,,,Good2,tissue,arantes_unpublished,,3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
157,R0068,Atol das Rocas,ADR,Rio Grande do Norte,RN,Brazil,BR,Atol das Rocas,feeding,,,,,,ei,,,,,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
158,R0071,Atol das Rocas,ADR,Rio Grande do Norte,RN,Brazil,BR,Atol das Rocas,feeding,,,,,,ei,,,,,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
159,R0071,Atol das Rocas,ADR,Rio Grande do Norte,RN,Brazil,BR,Atol das Rocas,feeding,,,pelagic,juvenile,,ei,,,,,Bad1,tissue,arantes_unpublished,,3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
160,R0077,Arembepe,ABP,Bahia,BA,Brazil,BR,Arembepe,nesting,,,nesting,adult,F,ei,,,,,Good1,tissue,arantes_unpublished,,3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
161,R0078,Arembepe,ABP,Bahia,BA,Brazil,BR,Arembepe,nesting,,,nesting,adult,F,ei,,,,,Good2,tissue,arantes_unpublished,,3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
162,R0080,Arembepe,ABP,Bahia,BA,Brazil,BR,Arembepe,nesting,,,nesting,adult,F,ei,,,,,Good1,tissue,arantes_unpublished,,3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
163,R0081,Arembepe,ABP,Bahia,BA,Brazil,BR,Arembepe,nesting,,,,,F,ei,,,,,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
164,R0083,Arembepe,ABP,Bahia,BA,Brazil,BR,Arembepe,nesting,,,nesting,adult,F,ei,,,,,Good1,tissue,arantes_unpublished,,3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
165,R0084,Arembepe,ABP,Bahia,BA,Brazil,BR,Arembepe,nesting,,,nesting,adult,F,ei,,,,,Good1,tissue,arantes_unpublished,,3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
166,R0085,Arembepe,ABP,Bahia,BA,Brazil,BR,Arembepe,nesting,,,nesting,adult,F,ei,,,,,Good2,tissue,arantes_unpublished,,3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
167,R0089,Arembepe,ABP,Bahia,BA,Brazil,BR,Arembepe,nesting,,,,adult,F,ei,,,,,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
168,R0096,Fernando de Noronha,FDN,Pernambuco,PE,Brazil,BR,Fernando de Noronha,feeding,,,pelagic,juvenile,,ei,,,,,Bad1,tissue,arantes_unpublished,,3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
169,R0102,Fernando de Noronha,FDN,Pernambuco,PE,Brazil,BR,Fernando de Noronha,feeding,,,pelagic,juvenile,,ei,,,,,Good2,tissue,arantes_2020,,3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
170,R0129,Fernando de Noronha,FDN,Pernambuco,PE,Brazil,BR,Fernando de Noronha,feeding,,,pelagic,juvenile,,ei,,,,,Bad2,tissue,arantes_2020,,3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
171,R0141,Pirambu,PIR,Sergipe,SE,Brazil,BR,Pirambu,nesting,,,,adult,,ei,,,,,default,tissue,vilaca_2022,"wild, wounded, died",ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
172,R0141,Pirambu,PIR,Sergipe,SE,Brazil,BR,Pirambu,nesting,,,,adult,,ei,,,,,Bad1,tissue,arantes_unpublished,"wild, wounded, died",3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
173,R0152,Pirambu,PIR,Sergipe,SE,Brazil,BR,Pirambu,nesting,,,,adult,F,ei,,,,,Bad1,tissue,arantes_unpublished,,3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
174,R0153,Pirambu,PIR,Sergipe,SE,Brazil,BR,Pirambu,nesting,,,,adult,,ei,,,,,Bad1,tissue,arantes_unpublished,,3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
175,R0154,Pirambu,PIR,Sergipe,SE,Brazil,BR,Pirambu,nesting,,,,adult,F,ei,,,,,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
176,R0154,Pirambu,PIR,Sergipe,SE,Brazil,BR,Pirambu,nesting,,,,adult,F,ei,,,,,Bad1,tissue,arantes_unpublished,,3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
177,R0155,Natal,NAT,Rio Grande do Norte,RN,Brazil,BR,Natal,nesting,,,,,F,ei,,,,,default,tissue,vilaca_2022,,ddRAD,NB500882.22.HHGJKBGXX.1,ILLUMINA,NextSeq 500
